longitude,latitude,year,details,,reference
145.247892,-37.906667,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.275912,-37.916306,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.263686,-37.800431,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.147352,-37.858744,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.099575,-37.895553,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.076253,-37.873046,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.090871,-37.781234,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.189068,-37.907727,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.348891,-37.77679,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.296861,-37.787887,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.021519,-37.793185,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.237059,-37.811643,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
145.187013,-37.921826,2017,Trichilogaster acacialongifoliae galls collected,,"Henriksen et al., 2017"
150.3,-34.35,1981,Trichilogaster acacialongifoliae galls collected; first releases in RSA,,"Neser, 1985; Denill, 1987"
150.7,-34.66,1981,Trichilogaster acacialongifoliae galls collected; first releases in RSA,,"Neser, 1985; Denill, 1987"
150.433,-35.083,1981,Trichilogaster acacialongifoliae galls collected; first releases in RSA,,"Neser, 1985; Denill, 1987"
150.383,-35.083,1981,Trichilogaster acacialongifoliae galls collected; first releases in RSA,,"Neser, 1985; Denill, 1987"
150.067,-35.916,1982,Trichilogaster acacialongifoliae galls collected; second releases in RSA,,"Neser, 1985; Denill, 1987"
145.083,-37.833,1982,Trichilogaster acacialongifoliae galls collected; second releases in RSA,,"Neser, 1985; Denill, 1987"
144.733,-38.3,1982,Trichilogaster acacialongifoliae galls collected; second releases in RSA,,"Neser, 1985; Denill, 1987"
144.383,-38.533,1982,Trichilogaster acacialongifoliae galls collected; second releases in RSA,,"Neser, 1985; Denill, 1987"
147.167,-41.416,1982,Trichilogaster acacialongifoliae galls collected; second releases in RSA,,"Neser, 1985; Denill, 1987"
150.06,-35.56,1981,Trichilogaster acacialongifoliae galls collected,Moruya,"Prinsloo and Neser, 2007"
151.03,-34.02,1976,Trichilogaster acacialongifoliae galls collected,Heathcote,"Prinsloo and Neser, 2007"
147.07,-41.25,1981,Trichilogaster acacialongifoliae galls collected,Launceston,"Prinsloo and Neser, 2007"
149.49,-35.38,1985,Trichilogaster acacialongifoliae galls collected,Araluen Valley,"Prinsloo and Neser, 2007"
147.1,-38.1,2014,,,"GBIF, 2018"
145.128,-38.04,2018,,,"GBIF, 2018"
149.5,-35.40,1986,,,"GBIF, 2018"
151,-34.1,1977,,,"GBIF, 2018"
151.1,-33.3,1977,,,"GBIF, 2018"
150.1,-35.6,,,,"GBIF, 2018"
