settings,rm,AUC.calibrate,AUC.test,AUC.diff,OR.10,OR.min,AICc,delta.AIC,parameters,feat.class
HLQPT_1,1,0.9346,0.884759067025503,0.05553354618346342,0.17450980392156862,0,2879.66269113768,752.0686965733967,47,HLQPT
HLQ_1,1,0.8591,0.8653018069973087,0.013065626932785035,0.03529411764705882,0,NA,NA,77,HLQ
H_1,1,0.8591,0.8568018710752274,0.020963787617917305,0.02222222222222222,0.0111111111111111,NA,NA,77,H
HLQPT_1.5,1.5,0.9236,0.8825868255799052,0.05237213669213066,0.1980392156862745,0.0235294117647059,2783.16093246524,655.566937900956,34,HLQPT
HLQ_1.5,1.5,0.8903,0.8567377931564782,0.03081883222172075,0.05751633986928105,0.034640522875817,NA,NA,85,HLQ
H_1.5,1.5,0.8743,0.8681949250288351,0.012446717817561815,0,0,NA,NA,89,H
HLQPT_2,2,0.931,0.8652601563501218,0.0586647276131254,0.15228758169934642,0.0352941176470588,2642.80701597548,515.2130214111967,38,HLQPT
HLQ_2,2,0.8902,0.8580001281558375,0.03326619081847002,0.1627450980392157,0.0352941176470588,2560.47123824912,432.8772436848353,47,HLQ
H_2,2,0.8882,0.8577117775214661,0.04776855612947082,0.13986928104575164,0.0470588235294118,2494.40603227955,366.81203771526725,49,H
HLQPT_3,3,0.9154,0.8801518646674356,0.03493305250488943,0.15098039215686274,0.0235294117647059,2538.49245445486,410.8984598905772,38,HLQPT
HLQ_3,3,0.8855,0.8652345251826221,0.030356217508316186,0.12745098039215685,0.0235294117647059,2384.2203306927,256.6263361284182,22,HLQ
H_3,3,0.9172,0.8804145841343073,0.03530261493628426,0.1503267973856209,0.0352941176470588,2259.11809998583,131.52410542155167,25,H
HLQPT_4,4,0.9139,0.8757817506087402,0.032637252115964334,0.15098039215686274,0.0235294117647059,2349.1191805742,221.52518600991607,19,HLQPT
HLQ_4,4,0.8889,0.8730968858131488,0.02729802918609896,0.11568627450980393,0.0235294117647059,2334.56532868499,206.9713341207098,17,HLQ
H_4,4,0.9111,0.874442522106882,0.028467311903448467,0.10326797385620914,0.0235294117647059,2127.59399456428,0,13,H
HLQPT_5,5,0.903,0.8717768806869153,0.03101009087920479,0.15098039215686274,0.0117647058823529,2296.62633886933,169.03234430504563,15,HLQPT
HLQ_5,5,0.8924,0.8758266051518647,0.02695576952008425,0.10392156862745099,0.0235294117647059,2335.97860992154,208.38461535725992,13,HLQ
H_5,5,0.8981,0.8648244265026271,0.025243774690893693,0.11503267973856209,0.0235294117647059,2132.86238218625,5.2683876219698504,14,H
HLQPT_6,6,0.9009,0.8716615404331667,0.029340164596671305,0.1392156862745098,0.0235294117647059,2292.98257340505,165.3885788407647,12,HLQPT
HLQ_6,6,0.891,0.8694059976931949,0.029040669976430466,0.11568627450980393,0.0235294117647059,2334.89073013468,207.29673557040405,13,HLQ
H_6,6,0.8822,0.8633506343713956,0.0212953211975327,0.10326797385620914,0.0117647058823529,2148.24793433451,20.65393977022677,9,H
HLQPT_8,8,0.8902,0.8633506343713956,0.02180683014893936,0.10392156862745099,0.0235294117647059,2381.88808691148,254.29409234719697,13,HLQPT
HLQ_8,8,0.8895,0.8447872613097527,0.025145707615242728,0.13856209150326798,0.0117647058823529,2277.60656509118,150.01257052689516,15,HLQ
H_8,8,0.8715,0.852764962194028,0.018814112743705057,0.10392156862745099,0.0117647058823529,2204.81765376051,77.22365919623462,9,H
HLQPT_10,10,0.8808,0.8420319108035371,0.019906641258378887,0.10392156862745099,0.0117647058823529,2444.61774314098,317.0237485767025,10,HLQPT
HLQ_10,10,0.8759,0.8316320645905421,0.023610902161376048,0.12745098039215685,0.0117647058823529,2429.38819117874,301.7941966144622,15,HLQ
H_10,10,0.858,0.8350153787004998,0.019224838272905064,0.12745098039215685,0.0117647058823529,2260.62580652072,133.03181195644402,8,H
