x,y,species cloglog values
1.0,1.0,0.42241332
2.0,2.0,0.3616948
3.0,3.0,0.5597249
4.0,4.0,0.14234625
5.0,5.0,0.100778036
6.0,6.0,0.3550728
7.0,7.0,0.116074555
8.0,8.0,0.62889236
9.0,9.0,0.60731614
10.0,10.0,0.13683912
11.0,11.0,0.70373964
12.0,12.0,0.50247556
13.0,13.0,0.50780576
14.0,14.0,0.72906345
15.0,15.0,0.18074943
16.0,16.0,0.49654284
17.0,17.0,0.65516675
18.0,18.0,0.61909485
19.0,19.0,0.21015531
20.0,20.0,0.5515304
21.0,21.0,0.6939635
22.0,22.0,0.62129736
23.0,23.0,0.66242516
24.0,24.0,0.1165166
25.0,25.0,0.44190884
26.0,26.0,0.72906345
27.0,27.0,0.15514787
28.0,28.0,0.45857874
29.0,29.0,0.7220846
30.0,30.0,0.10770409
31.0,31.0,0.4835583
32.0,32.0,0.5885371
33.0,33.0,0.24568275
34.0,34.0,0.3432218
35.0,35.0,0.7174104
36.0,36.0,0.32785875
37.0,37.0,0.72906345
38.0,38.0,0.5339126
39.0,39.0,0.36974314
40.0,40.0,0.581428
41.0,41.0,0.23517835
42.0,42.0,0.11253183
43.0,43.0,0.31107277
44.0,44.0,0.39932626
45.0,45.0,0.08821601
46.0,46.0,0.12594275
47.0,47.0,0.5318208
48.0,48.0,0.34587574
49.0,49.0,0.2418321
50.0,50.0,0.2105985
51.0,51.0,0.72906345
52.0,52.0,0.6259016
53.0,53.0,0.10504301
54.0,54.0,0.12139618
55.0,55.0,0.23658898
56.0,56.0,0.1111754
57.0,57.0,0.58194995
58.0,58.0,0.22621085
59.0,59.0,0.11921145
60.0,60.0,0.6747279
61.0,61.0,0.07637284
62.0,62.0,0.30565965
63.0,63.0,0.32889467
64.0,64.0,0.71515346
65.0,65.0,0.23732802
66.0,66.0,0.19027852
67.0,67.0,0.30585432
68.0,68.0,0.2839373
69.0,69.0,0.51414186
70.0,70.0,0.20002976
71.0,71.0,0.36053497
72.0,72.0,0.22346228
73.0,73.0,0.3931473
74.0,74.0,0.19458617
75.0,75.0,0.6808542
76.0,76.0,0.31444743
77.0,77.0,0.5006188
78.0,78.0,0.12370984
79.0,79.0,0.18115334
80.0,80.0,0.72906345
81.0,81.0,0.40855208
82.0,82.0,0.6356696
83.0,83.0,0.08759874
84.0,84.0,0.55041057
85.0,85.0,0.12000257
86.0,86.0,0.72906345
87.0,87.0,0.14653468
88.0,88.0,0.6392328
89.0,89.0,0.1348622
90.0,90.0,0.3940479
91.0,91.0,0.11287683
92.0,92.0,0.10885792
93.0,93.0,0.6398663
94.0,94.0,0.72906345
95.0,95.0,0.72906345
96.0,96.0,0.7209115
97.0,97.0,0.7033298
98.0,98.0,0.26218376
99.0,99.0,0.70444864
100.0,100.0,0.4120463
101.0,101.0,0.34509197
102.0,102.0,0.12446443
