x,y,raw,cumulative,Cloglog
1.0,1.0,7.65364E-3,100,0.706401158
2.0,2.0,1.52103E-3,2.382689096,0.216163893
3.0,3.0,6.68218E-3,26.633762396,0.656986667
4.0,4.0,7.24956E-3,35.645970418,0.686776482
5.0,5.0,2.19722E-3,5.202636595,0.296600991
6.0,6.0,1.15082E-3,0.339580806,0.168293127
7.0,7.0,7.65364E-3,100,0.706401158
8.0,8.0,2.94412E-3,7.726658272,0.375889913
9.0,9.0,5.35912E-3,17.056956787,0.576045823
10.0,10.0,2.6285E-3,7.139398822,0.34353765
11.0,11.0,6.76651E-3,30.674238425,0.661587205
12.0,12.0,7.65364E-3,100,0.706401158
13.0,13.0,7.65364E-3,100,0.706401158
14.0,14.0,7.24986E-3,37.820927672,0.686791172
15.0,15.0,2.38092E-3,6.133484883,0.316989181
16.0,16.0,2.33665E-3,5.895393378,0.312131275
17.0,17.0,3.30815E-3,8.364755964,0.411229605
18.0,18.0,1.12601E-3,0.224498872,0.164982992
19.0,19.0,7.65364E-3,100,0.706401158
20.0,20.0,6.65791E-3,25.965544193,0.655650812
21.0,21.0,6.76127E-3,29.99758752,0.661302951
22.0,22.0,7.65364E-3,100,0.706401158
23.0,23.0,1.49253E-3,2.230586068,0.212578647
24.0,24.0,1.48784E-3,1.932540316,0.211987183
25.0,25.0,1.74347E-3,4.178497829,0.243591229
26.0,26.0,1.26467E-3,0.702198389,0.183318063
27.0,27.0,7.29632E-3,40.006604363,0.689112661
28.0,28.0,6.81382E-3,31.355620411,0.664141218
29.0,29.0,2.10976E-3,4.768647004,0.286680439
30.0,30.0,2.26478E-3,5.429114611,0.304168992
31.0,31.0,7.20882E-3,34.921013957,0.684726134
32.0,32.0,3.35552E-3,8.700307527,0.415677794
33.0,33.0,2.92847E-3,7.432245896,0.374323654
34.0,34.0,5.98425E-3,22.155625813,0.616428836
35.0,35.0,2.5136E-3,6.624060205,0.331347578
36.0,36.0,7.363E-3,42.947646817,0.692414454
37.0,37.0,1.28444E-3,0.957533902,0.185898834
38.0,38.0,7.59461E-3,57.179677659,0.703612766
39.0,39.0,2.03253E-3,4.557671033,0.277804245
40.0,40.0,2.32613E-3,5.661727979,0.310971538
41.0,41.0,1.11898E-3,0.111897515,0.164041374
42.0,42.0,1.18721E-3,0.575731398,0.173125539
43.0,43.0,6.41475E-3,24.644216064,0.641979135
44.0,44.0,7.65364E-3,100,0.706401158
45.0,45.0,3.4165E-3,9.041957343,0.42135584
46.0,46.0,1.60084E-3,3.168997561,0.226117528
47.0,47.0,5.44351E-3,17.601307409,0.5817361
48.0,48.0,1.57172E-3,2.851290806,0.222499961
49.0,49.0,3.87072E-3,11.636231916,0.461947849
50.0,50.0,7.27348E-3,38.548275566,0.687973611
51.0,51.0,4.46682E-3,12.915867855,0.510930823
52.0,52.0,2.39215E-3,6.372700133,0.318217085
53.0,53.0,3.07282E-3,8.033940526,0.388619906
54.0,54.0,1.42263E-3,1.495028757,0.203715498
55.0,55.0,1.1743E-3,0.457010325,0.171413707
56.0,56.0,5.27187E-3,14.928711733,0.570081633
57.0,57.0,1.63083E-3,3.493429778,0.229824293
58.0,58.0,4.58392E-3,13.374259625,0.520015225
59.0,59.0,5.28838E-3,15.457549857,0.571216557
60.0,60.0,1.71666E-3,4.00415095,0.240336959
61.0,61.0,1.4292E-3,1.637949027,0.204553284
62.0,62.0,1.55244E-3,2.537933411,0.220096685
63.0,63.0,6.11436E-3,23.36723157,0.624337276
64.0,64.0,7.34221E-3,41.475046896,0.691388946
65.0,65.0,1.71128E-3,3.832485121,0.239683026
66.0,66.0,1.67927E-3,3.661356651,0.235775204
67.0,67.0,5.79062E-3,20.969088261,0.604349415
68.0,68.0,7.59984E-3,60.979597773,0.703860956
69.0,69.0,7.65364E-3,100,0.706401158
70.0,70.0,7.55234E-3,54.903745926,0.701599729
71.0,71.0,6.0017E-3,22.75579543,0.617498614
72.0,72.0,1.26892E-3,0.829090287,0.18387353
73.0,73.0,7.1941E-3,34.200132197,0.683982388
74.0,74.0,1.45807E-3,1.783756193,0.20822187
75.0,75.0,1.7592E-3,4.354418216,0.245494666
76.0,76.0,3.44707E-3,9.386664685,0.424181883
77.0,77.0,3.67767E-3,10.478054852,0.445056101
78.0,78.0,2.52488E-3,6.876548348,0.332554293
79.0,79.0,1.30214E-3,1.217813662,0.188204054
80.0,80.0,7.65364E-3,100,0.706401158
81.0,81.0,5.44456E-3,18.145762963,0.581806372
82.0,82.0,7.65364E-3,100,0.706401158
83.0,83.0,7.65364E-3,100,0.706401158
84.0,84.0,1.48793E-3,2.081333026,0.211998019
85.0,85.0,1.61349E-3,3.33034705,0.227683814
86.0,86.0,7.65364E-3,100,0.706401158
87.0,87.0,6.7097E-3,27.304732146,0.658494632
88.0,88.0,1.56186E-3,2.694119086,0.221271391
89.0,89.0,1.57623E-3,3.008913323,0.223060987
90.0,90.0,1.30065E-3,1.087599164,0.188010042
91.0,91.0,1.34952E-3,1.352765894,0.194339287
92.0,92.0,4.23464E-3,12.469185395,0.492405881
93.0,93.0,6.35509E-3,24.002740646,0.63854235
94.0,94.0,3.59554E-3,9.746218916,0.437709722
95.0,95.0,7.65364E-3,100,0.706401158
