Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.62887E-4,0.066288665,0.106370897,1,0,0
7.15751E-4,0.137863754,0.114349911,0.994818653,0,0
7.99039E-4,0.217767605,0.126776556,0.989637306,0,0
8.6508E-4,0.304275615,0.136506003,0.984455959,0,0
9.71336E-4,0.490216211,0.151932989,0.974093264,0,0
1.00472E-3,0.590688006,0.156722424,0.968911917,0,0
1.03576E-3,0.694263545,0.16115126,0.96373057,0,0
1.06903E-3,0.801166181,0.165872978,0.958549223,0,0
1.07198E-3,0.908364465,0.166291266,0.953367876,0,0
1.16746E-3,1.025109995,0.179686674,0.948186528,0,0
1.22132E-3,1.147242013,0.187149074,0.943005181,0,0
1.24611E-3,1.271852827,0.190560334,0.937823834,0,0
1.25855E-3,1.397707736,0.192267029,0.932642487,0,0
1.26349E-3,1.524056311,0.192943261,0.92746114,0,0
1.29771E-3,1.782492747,0.197615972,0.917098446,0,0
1.31389E-3,2.044553865,0.199815456,0.906735751,0,0
1.4E-3,2.317113329,0.211420235,0.896373057,0,0
1.4721E-3,2.608041485,0.221007509,0.886010363,0,0
1.47984E-3,2.756025164,0.222029857,0.880829016,0,0
1.56524E-3,3.063999065,0.233220874,0.870466321,0,0
1.60746E-3,3.383300128,0.238694131,0.860103627,0,0
1.61762E-3,3.545062576,0.240005443,0.85492228,0,0
1.76142E-3,3.888905169,0.258321486,0.844559585,0,0
1.84296E-3,4.073200841,0.26851135,0.839378238,0,0
2.07368E-3,4.280568418,0.296591209,0.834196891,0,0
2.15965E-3,4.705004754,0.306777043,0.823834197,0,0
2.17054E-3,4.922059083,0.308056846,0.81865285,0,0
2.28246E-3,5.150305442,0.32107168,0.813471503,0,0
2.37686E-3,5.387991265,0.331858025,0.808290155,0.011627907,0
2.4547E-3,5.633460968,0.34062352,0.803108808,0.011627907,0
2.50717E-3,5.88417804,0.346467644,0.797927461,0.011627907,0
2.50972E-3,6.135150416,0.346750656,0.792746114,0.011627907,0
2.58293E-3,6.393443024,0.354813455,0.787564767,0.011627907,0
2.61628E-3,6.655070757,0.358453824,0.78238342,0.011627907,0
2.62551E-3,6.917621868,0.359458077,0.777202073,0.011627907,0
2.62766E-3,7.180387611,0.359691282,0.772020725,0.011627907,0
2.69768E-3,7.450155433,0.367252913,0.766839378,0.023255814,0
2.73437E-3,7.723592288,0.371179423,0.761658031,0.023255814,0
2.73733E-3,7.997325138,0.371495126,0.756476684,0.023255814,0
2.82124E-3,8.279449277,0.380379474,0.751295337,0.023255814,0
2.91373E-3,8.570822513,0.390026606,0.74611399,0.023255814,0
3.10415E-3,8.881237752,0.40941774,0.740932642,0.023255814,0
3.20531E-3,9.201768615,0.419466853,0.735751295,0.023255814,0
3.22036E-3,9.523804784,0.420947576,0.730569948,0.023255814,0
3.2442E-3,9.848225278,0.423285234,0.725388601,0.023255814,0
3.24677E-3,10.172902277,0.423536157,0.720207254,0.023255814,0
3.27559E-3,10.500460979,0.426347644,0.715025907,0.023255814,0
3.33321E-3,10.833781649,0.431928163,0.70984456,0.023255814,0
3.44379E-3,11.178161046,0.442487014,0.704663212,0.023255814,0
3.45546E-3,11.523707166,0.44358949,0.699481865,0.023255814,0
3.5226E-3,11.875967022,0.44989129,0.694300518,0.023255814,0
3.5518E-3,12.231146645,0.45260959,0.689119171,0.023255814,0
3.60848E-3,12.591994382,0.457848312,0.683937824,0.023255814,0
3.67739E-3,12.959733732,0.464150353,0.678756477,0.034883721,0
3.70002E-3,13.329735805,0.466203486,0.67357513,0.034883721,0
3.84014E-3,13.713749882,0.478743561,0.668393782,0.034883721,0
3.86188E-3,14.099937921,0.480662577,0.663212435,0.034883721,0
4.01567E-3,14.50150473,0.494037581,0.658031088,0.046511628,0
4.10214E-3,14.911718857,0.501406332,0.652849741,0.046511628,0
4.18742E-3,15.330460783,0.508568125,0.647668394,0.046511628,0
4.23485E-3,15.753945941,0.512506957,0.642487047,0.046511628,0
4.28856E-3,16.182802151,0.516929038,0.637305699,0.058139535,0
4.31477E-3,16.614278987,0.519072061,0.632124352,0.058139535,0
4.521E-3,17.0663789,0.535608193,0.626943005,0.058139535,0
4.61953E-3,17.528331782,0.543306635,0.621761658,0.069767442,0
4.79447E-3,18.007778852,0.556662299,0.616580311,0.069767442,0
4.99589E-3,18.507367694,0.571556221,0.611398964,0.069767442,0
5.03657E-3,19.011024253,0.574502832,0.606217617,0.081395349,0
5.12179E-3,19.523203151,0.580610785,0.601036269,0.081395349,0
5.18102E-3,20.041305617,0.584804473,0.595854922,0.081395349,0
5.19961E-3,20.56126681,0.586111727,0.590673575,0.081395349,0
5.28201E-3,21.089467503,0.591857229,0.585492228,0.081395349,0
5.34404E-3,21.623871749,0.596130351,0.580310881,0.093023256,0
5.35769E-3,22.159640514,0.597064237,0.575129534,0.093023256,0
5.36006E-3,22.695646494,0.597226369,0.569948187,0.104651163,0
5.36579E-3,23.232225951,0.597618059,0.564766839,0.104651163,0
5.37402E-3,23.769627683,0.598179014,0.559585492,0.11627907,0
5.53862E-3,24.323490182,0.609245469,0.554404145,0.11627907,0
5.54557E-3,25.43191005,0.609705862,0.544041451,0.139534884,0
5.56305E-3,25.988214614,0.610861085,0.538860104,0.151162791,0
5.77372E-3,26.565586472,0.624524246,0.533678756,0.151162791,0
5.92832E-3,27.158418135,0.634244528,0.528497409,0.151162791,0
5.99237E-3,27.757655106,0.638197733,0.523316062,0.151162791,0
5.99878E-3,28.357533207,0.638591062,0.518134715,0.151162791,0
6.02897E-3,28.960429919,0.640437227,0.512953368,0.151162791,0
6.04076E-3,29.564506243,0.641156106,0.507772021,0.162790698,0
6.05937E-3,30.170443011,0.642286976,0.502590674,0.174418605,0
6.09891E-3,30.780334301,0.644678908,0.497409326,0.186046512,0
6.10854E-3,31.391187932,0.645258566,0.492227979,0.197674419,0
6.1182E-3,32.003007838,0.645839642,0.487046632,0.197674419,0
6.12243E-3,32.615250479,0.646093556,0.481865285,0.209302326,0
6.19018E-3,33.234268601,0.650138485,0.476683938,0.220930233,0
6.2193E-3,33.85619872,0.651862697,0.471502591,0.220930233,0
6.25892E-3,34.48209101,0.654195087,0.466321244,0.220930233,0
6.4239E-3,35.124480941,0.663739854,0.461139896,0.220930233,0
6.45054E-3,35.769534495,0.665256008,0.455958549,0.220930233,0
6.45483E-3,36.415017151,0.665499615,0.450777202,0.23255814,0
6.47802E-3,37.062819203,0.666813307,0.445595855,0.244186047,0
6.5326E-3,37.716078973,0.669884207,0.440414508,0.244186047,0
6.62473E-3,38.378551866,0.675004083,0.435233161,0.244186047,0
6.63115E-3,39.04166678,0.67535789,0.430051813,0.255813953,0
6.69927E-3,39.71159391,0.679088347,0.424870466,0.26744186,0
6.84607E-3,43.075909789,0.686982349,0.398963731,0.290697674,0
6.84607E-3,44.445124505,0.686982349,0.383419689,0.290697674,0
6.86013E-3,45.131137851,0.687728125,0.383419689,0.325581395,0
6.86985E-3,45.818123205,0.688242667,0.378238342,0.325581395,0
6.94835E-3,46.512958306,0.692367056,0.373056995,0.337209302,0
6.95297E-3,47.208255624,0.692608205,0.367875648,0.348837209,0
6.9861E-3,48.602162732,0.694330869,0.357512953,0.360465116,0
7.10431E-3,49.312593653,0.700400174,0.352331606,0.372093023,0
7.13113E-3,51.446568938,0.701760594,0.336787565,0.395348837,0
7.13669E-3,52.160238286,0.702041743,0.331606218,0.406976744,0
7.23486E-3,52.883724558,0.706963218,0.32642487,0.406976744,0
7.2816E-3,53.611884891,0.709277796,0.321243523,0.418604651,0
7.40866E-3,54.352751167,0.715477751,0.316062176,0.418604651,0
7.4119E-3,55.093940676,0.715633738,0.310880829,0.430232558,0
7.46842E-3,55.840783031,0.718347929,0.305699482,0.430232558,0
7.47108E-3,56.587891089,0.718474866,0.300518135,0.441860465,0
7.48956E-3,57.33684748,0.719356306,0.295336788,0.453488372,0
7.50805E-3,58.087652576,0.720235162,0.29015544,0.465116279,0
7.51499E-3,58.839152039,0.720564546,0.284974093,0.465116279,0
7.53402E-3,60.344053927,0.721465261,0.274611399,0.488372093,0
7.56186E-3,61.100239538,0.722777377,0.269430052,0.5,0
7.5975E-3,61.859989363,0.724448684,0.264248705,0.511627907,0
7.62479E-3,64.901718135,0.725721752,0.243523316,0.558139535,0
7.63006E-3,65.664724262,0.725966797,0.238341969,0.569767442,0
