x,y,species cloglog values
1.0,1.0,0.4570483
2.0,2.0,0.11635584
3.0,3.0,0.57673305
4.0,4.0,0.806975
5.0,5.0,0.15541536
6.0,6.0,0.08742
7.0,7.0,0.64181226
8.0,8.0,0.28015083
9.0,9.0,0.5038273
10.0,10.0,0.250025
11.0,11.0,0.48192516
12.0,12.0,0.62341446
13.0,13.0,0.67514277
14.0,14.0,0.6670115
15.0,15.0,0.22459224
16.0,16.0,0.21603827
17.0,17.0,0.2295929
18.0,18.0,0.080738075
19.0,19.0,0.69804627
20.0,20.0,0.5519084
21.0,21.0,0.6541747
22.0,22.0,0.6740605
23.0,23.0,0.097987466
24.0,24.0,0.09556789
25.0,25.0,0.1557585
26.0,26.0,0.08597218
27.0,27.0,0.60871404
28.0,28.0,0.6699505
29.0,29.0,0.19862108
30.0,30.0,0.16082509
31.0,31.0,0.5012188
32.0,32.0,0.20543183
33.0,33.0,0.31971812
34.0,34.0,0.45684534
35.0,35.0,0.23745064
36.0,36.0,0.4841158
37.0,37.0,0.08757338
38.0,38.0,0.56497896
39.0,39.0,0.1810395
40.0,40.0,0.2182403
41.0,41.0,0.07520347
42.0,42.0,0.104806915
43.0,43.0,0.3965092
44.0,44.0,0.68610585
45.0,45.0,0.3532718
46.0,46.0,0.13854723
47.0,47.0,0.49247536
48.0,48.0,0.14349926
49.0,49.0,0.4342871
50.0,50.0,0.41038162
51.0,51.0,0.3632304
52.0,52.0,0.25588804
53.0,53.0,0.20976879
54.0,54.0,0.09279804
55.0,55.0,0.096585386
56.0,56.0,0.3987975
57.0,57.0,0.13399942
58.0,58.0,0.31829584
59.0,59.0,0.5179665
60.0,60.0,0.15313727
61.0,61.0,0.095938616
62.0,62.0,0.14394574
63.0,63.0,0.5745942
64.0,64.0,0.67577744
65.0,65.0,0.14992614
66.0,66.0,0.121442
67.0,67.0,0.577537
68.0,68.0,0.66147137
69.0,69.0,0.45069742
70.0,70.0,0.7430596
71.0,71.0,0.34991798
72.0,72.0,0.10643898
73.0,73.0,0.6321762
74.0,74.0,0.09033524
75.0,75.0,0.12820958
76.0,76.0,0.2888716
77.0,77.0,0.24011445
78.0,78.0,0.23424451
79.0,79.0,0.07735369
80.0,80.0,0.7441597
81.0,81.0,0.29272038
82.0,82.0,0.5311316
83.0,83.0,0.48967007
84.0,84.0,0.09580335
85.0,85.0,0.14338714
86.0,86.0,0.4114819
87.0,87.0,0.6367289
88.0,88.0,0.13831158
89.0,89.0,0.13639866
90.0,90.0,0.10634344
91.0,91.0,0.14280953
92.0,92.0,0.2699103
93.0,93.0,0.64229995
94.0,94.0,0.33185393
95.0,95.0,0.80388594
