x,y,raw,cumulative,Cloglog
1.0,1.0,1.59309E-3,3.41842739,0.216077513
2.0,2.0,1.50869E-3,3.101872879,0.205901342
3.0,3.0,6.89763E-4,0.809407762,0.10004019
4.0,4.0,7.15977E-3,38.862989451,0.665162315
5.0,5.0,1.73594E-3,4.261427713,0.233005522
6.0,6.0,6.25903E-3,29.553363268,0.615750728
7.0,7.0,2.23833E-3,6.251963209,0.28968505
8.0,8.0,7.83626E-3,49.400696696,0.698047942
9.0,9.0,3.03177E-3,8.545774806,0.370793577
10.0,10.0,5.36811E-3,23.28479926,0.559709179
11.0,11.0,3.38632E-3,9.864445584,0.403976948
12.0,12.0,4.90875E-3,18.613525423,0.527691519
13.0,13.0,6.64123E-4,0.740431416,0.096507018
14.0,14.0,4.19391E-4,0.1466044,0.06207815
15.0,15.0,2.00297E-3,5.391743422,0.263672376
16.0,16.0,4.57916E-4,0.280309751,0.067583613
17.0,17.0,9.28505E-3,76.844205851,0.758015417
18.0,18.0,5.29225E-3,22.211406908,0.554575235
19.0,19.0,3.3551E-4,0.062886805,0.049978259
20.0,20.0,6.62949E-4,0.674019134,0.096344952
21.0,21.0,6.61852E-3,34.697990932,0.636290242
22.0,22.0,7.60919E-3,47.060864127,0.687386458
23.0,23.0,4.8567E-3,18.122650654,0.523920154
24.0,24.0,7.92233E-3,50.9815588,0.701993394
25.0,25.0,7.30894E-3,41.045880045,0.672708607
26.0,26.0,2.04077E-3,5.595820316,0.267913833
27.0,27.0,2.24631E-3,6.476594529,0.290551233
28.0,28.0,7.78245E-3,48.617070266,0.695554673
29.0,29.0,2.93358E-4,0.029335838,0.043839146
30.0,30.0,8.70548E-4,1.586956807,0.124562543
31.0,31.0,3.71736E-3,11.276332616,0.43337759
32.0,32.0,4.00951E-3,12.822600774,0.458118175
33.0,33.0,1.66768E-3,3.746544521,0.224962366
34.0,34.0,1.01658E-3,2.059475055,0.143881865
35.0,35.0,1.31744E-3,2.398867004,0.18235145
36.0,36.0,6.68111E-3,36.030485458,0.639752676
37.0,37.0,1.72647E-3,4.087833321,0.231893776
38.0,38.0,5.57469E-3,25.483709138,0.573391092
39.0,39.0,5.06197E-3,20.114741244,0.538622113
40.0,40.0,2.14055E-3,5.809875413,0.278992038
41.0,41.0,4.17785E-4,0.104665274,0.061847856
42.0,42.0,1.0584E-3,2.267122968,0.149335451
43.0,43.0,2.58105E-3,7.671662428,0.325929097
44.0,44.0,8.24864E-4,1.499901959,0.118429586
45.0,45.0,7.36269E-4,1.025448631,0.1064133
46.0,46.0,1.61349E-3,3.579776742,0.218518344
47.0,47.0,4.03701E-3,13.629457659,0.460390672
48.0,48.0,8.8985E-3,69.600428891,0.743290566
49.0,49.0,4.42973E-4,0.23451812,0.06545204
50.0,50.0,2.31501E-3,6.708095541,0.297959942
51.0,51.0,7.13299E-4,0.951821687,0.103271138
52.0,52.0,3.29803E-3,9.525813256,0.395880596
53.0,53.0,2.69395E-3,7.941057765,0.337458752
54.0,54.0,6.30259E-3,30.810962005,0.618300441
55.0,55.0,3.39684E-3,10.204129592,0.404934052
56.0,56.0,1.37585E-3,2.803994048,0.189617682
57.0,57.0,2.34906E-3,7.175229373,0.301603688
58.0,58.0,5.74174E-3,27.762391638,0.584143514
59.0,59.0,7.31284E-3,41.777164295,0.672903847
60.0,60.0,9.11117E-4,1.765599505,0.129972901
61.0,61.0,9.94611E-4,1.957817218,0.141003176
62.0,62.0,9.51186E-3,78.744004552,0.766258848
63.0,63.0,4.33945E-3,14.887618032,0.484762006
64.0,64.0,1.01808E-3,2.161283232,0.144078527
65.0,65.0,7.1084E-4,0.880491778,0.102934122
66.0,66.0,1.85177E-3,4.809329577,0.246461875
67.0,67.0,1.33668E-3,2.532534599,0.184751365
68.0,68.0,6.52649E-3,34.036139031,0.631139259
69.0,69.0,2.38328E-3,7.413556985,0.305245534
70.0,70.0,9.27566E-4,1.858356079,0.132157102
71.0,71.0,8.12645E-4,1.33562149,0.116781959
72.0,72.0,1.68642E-3,3.915186773,0.227179244
73.0,73.0,9.96874E-3,87.467931841,0.782021467
74.0,74.0,8.1794E-4,1.417415532,0.117496341
75.0,75.0,3.21522E-3,8.867296717,0.388187188
76.0,76.0,5.31546E-4,0.429092818,0.078016001
77.0,77.0,5.73252E-3,27.188217872,0.583557506
78.0,78.0,4.43739E-3,15.765579686,0.492416193
79.0,79.0,5.96747E-4,0.547260142,0.087156645
80.0,80.0,6.04641E-4,0.607724224,0.088257144
81.0,81.0,3.0154E-3,8.242597482,0.369217025
82.0,82.0,7.62499E-4,1.175610536,0.109987848
83.0,83.0,1.87822E-3,4.997151481,0.249501207
84.0,84.0,3.43702E-3,10.547831669,0.408576653
85.0,85.0,3.85437E-3,12.421649738,0.445117673
86.0,86.0,4.36164E-4,0.190220771,0.064479019
87.0,87.0,4.7103E-4,0.32741275,0.069450256
88.0,88.0,4.85255E-4,0.375938217,0.071470816
89.0,89.0,1.78876E-3,4.440303404,0.239170669
90.0,90.0,4.34222E-3,15.321840476,0.484980514
91.0,91.0,5.90543E-3,28.927460614,0.594417097
92.0,92.0,7.15341E-3,38.147012564,0.664836817
93.0,93.0,3.56765E-3,10.904597058,0.420265884
94.0,94.0,7.87464E-4,1.25435696,0.113376783
95.0,95.0,8.7531E-4,1.674487847,0.125199353
96.0,96.0,4.79379E-3,17.152341747,0.519320882
97.0,97.0,1.33874E-3,2.666408602,0.18500847
98.0,98.0,7.3912E-4,1.099360625,0.106802457
99.0,99.0,7.9428E-3,52.569950127,0.702924073
100.0,100.0,6.42785E-3,32.731853034,0.625537073
101.0,101.0,5.84926E-4,0.487585452,0.08550625
