Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.93358E-4,0.029335838,0.043839146,1,0,0
3.3551E-4,0.062886805,0.049978259,0.994818653,0,0
4.17785E-4,0.104665274,0.061847856,0.989637306,0,0
4.42973E-4,0.23451812,0.06545204,0.974093264,0,0
4.7103E-4,0.32741275,0.069450256,0.96373057,0,0
5.31546E-4,0.429092818,0.078016001,0.953367876,0,0
5.96747E-4,0.547260142,0.087156645,0.943005181,0,0
6.04641E-4,0.607724224,0.088257144,0.937823834,0,0
6.64123E-4,0.740431416,0.096507018,0.92746114,0,0
6.89763E-4,0.809407762,0.10004019,0.922279793,0,0
7.13299E-4,0.951821687,0.103271138,0.911917098,0,0
7.36269E-4,1.025448631,0.1064133,0.906735751,0,0
7.62499E-4,1.175610536,0.109987848,0.896373057,0,0
7.87464E-4,1.25435696,0.113376783,0.89119171,0,0
8.12645E-4,1.33562149,0.116781959,0.886010363,0,0
8.1794E-4,1.417415532,0.117496341,0.880829016,0,0
8.70548E-4,1.586956807,0.124562543,0.870466321,0,0
9.11117E-4,1.765599505,0.129972901,0.860103627,0,0
1.01658E-3,2.059475055,0.143881865,0.844559585,0,0
1.0584E-3,2.267122968,0.149335451,0.834196891,0,0
1.33668E-3,2.532534599,0.184751365,0.823834197,0,0
1.37585E-3,2.803994048,0.189617682,0.813471503,0,0
1.50869E-3,3.101872879,0.205901342,0.803108808,0.011627907,0
1.57246E-3,3.25911874,0.21360252,0.797927461,0.011627907,0
1.61349E-3,3.579776742,0.218518344,0.787564767,0.011627907,0
1.68642E-3,3.915186773,0.227179244,0.777202073,0.011627907,0
1.72647E-3,4.087833321,0.231893776,0.772020725,0.011627907,0
1.73594E-3,4.261427713,0.233005522,0.766839378,0.011627907,0
1.83849E-3,4.624152448,0.24493102,0.756476684,0.011627907,0
1.85177E-3,4.809329577,0.246461875,0.751295337,0.011627907,0
1.94295E-3,5.191446913,0.25688886,0.740932642,0.011627907,0
2.00297E-3,5.391743422,0.263672376,0.735751295,0.011627907,0
2.04077E-3,5.595820316,0.267913833,0.730569948,0.011627907,0
2.14055E-3,5.809875413,0.278992038,0.725388601,0.011627907,0
2.18255E-3,6.028130366,0.283604613,0.720207254,0.011627907,0
2.23833E-3,6.251963209,0.28968505,0.715025907,0.011627907,0
2.31501E-3,6.708095541,0.297959942,0.704663212,0.011627907,0
2.32228E-3,6.940323071,0.298738927,0.699481865,0.011627907,0
2.34906E-3,7.175229373,0.301603688,0.694300518,0.023255814,0
2.38328E-3,7.413556985,0.305245534,0.689119171,0.023255814,0
2.58105E-3,7.671662428,0.325929097,0.683937824,0.023255814,0
2.69395E-3,7.941057765,0.337458752,0.678756477,0.023255814,0
3.0154E-3,8.242597482,0.369217025,0.67357513,0.023255814,0
3.03177E-3,8.545774806,0.370793577,0.668393782,0.023255814,0
3.21522E-3,8.867296717,0.388187188,0.663212435,0.023255814,0
3.28714E-3,9.196010333,0.394874135,0.658031088,0.023255814,0
3.29803E-3,9.525813256,0.395880596,0.652849741,0.034883721,0
3.38632E-3,9.864445584,0.403976948,0.647668394,0.034883721,0
3.39684E-3,10.204129592,0.404934052,0.642487047,0.034883721,0
3.43702E-3,10.547831669,0.408576653,0.637305699,0.034883721,0
3.56765E-3,10.904597058,0.420265884,0.632124352,0.034883721,0
3.71736E-3,11.276332616,0.43337759,0.626943005,0.034883721,0
3.78699E-3,11.655031153,0.439374701,0.621761658,0.034883721,0
3.81182E-3,12.03621312,0.441498251,0.616580311,0.046511628,0
3.85437E-3,12.421649738,0.445117673,0.611398964,0.046511628,0
4.00951E-3,12.822600774,0.458118175,0.606217617,0.046511628,0
4.03156E-3,13.225756518,0.459940753,0.601036269,0.046511628,0
4.03701E-3,13.629457659,0.460390672,0.595854922,0.058139535,0
4.04645E-3,14.034102184,0.461168023,0.590673575,0.058139535,0
4.19571E-3,14.453673169,0.473319477,0.585492228,0.069767442,0
4.33945E-3,14.887618032,0.484762006,0.580310881,0.081395349,0
4.34222E-3,15.321840476,0.484980514,0.575129534,0.081395349,0
4.43739E-3,15.765579686,0.492416193,0.569948187,0.081395349,0
4.53692E-3,16.219271384,0.5000775,0.564766839,0.081395349,0
4.53692E-3,16.672963082,0.5000775,0.554404145,0.081395349,0
4.79379E-3,17.152341747,0.519320882,0.554404145,0.104651163,0
4.84639E-3,17.636980433,0.523169105,0.549222798,0.104651163,0
4.8567E-3,18.122650654,0.523920154,0.544041451,0.104651163,0
4.90875E-3,18.613525423,0.527691519,0.538860104,0.104651163,0
4.95385E-3,19.108910841,0.530935891,0.533678756,0.104651163,0
4.99633E-3,19.608543933,0.533970735,0.528497409,0.11627907,0
5.06197E-3,20.114741244,0.538622113,0.523316062,0.127906977,0
5.2248E-3,20.637221543,0.549960744,0.518134715,0.127906977,0
5.2248E-3,21.682182141,0.549960744,0.502590674,0.127906977,0
5.29225E-3,22.211406908,0.554575235,0.502590674,0.162790698,0
5.36581E-3,22.747988193,0.559554549,0.497409326,0.162790698,0
5.36811E-3,23.28479926,0.559709179,0.492227979,0.174418605,0
5.39057E-3,23.82385675,0.561218035,0.487046632,0.174418605,0
5.46472E-3,24.370328413,0.566161316,0.481865285,0.186046512,0
5.55912E-3,24.926240357,0.572374956,0.476683938,0.197674419,0
5.57469E-3,25.483709138,0.573391092,0.471502591,0.209302326,0
5.61035E-3,26.044744219,0.575709696,0.466321244,0.209302326,0
5.70221E-3,26.6149656,0.581624233,0.461139896,0.220930233,0
5.73252E-3,27.188217872,0.583557506,0.455958549,0.23255814,0
5.74174E-3,27.762391638,0.584143514,0.450777202,0.23255814,0
5.74526E-3,28.336917277,0.584367064,0.445595855,0.23255814,0
5.90543E-3,28.927460614,0.594417097,0.440414508,0.244186047,0
6.25903E-3,29.553363268,0.615750728,0.435233161,0.244186047,0
6.27339E-3,30.180702613,0.616593406,0.430051813,0.244186047,0
6.30259E-3,30.810962005,0.618300441,0.424870466,0.255813953,0
6.35372E-3,31.446334443,0.621271201,0.419689119,0.255813953,0
6.42733E-3,32.089067917,0.625507521,0.414507772,0.26744186,0
6.42785E-3,32.731853034,0.625537073,0.409326425,0.279069767,0
6.51637E-3,33.383489847,0.630568175,0.404145078,0.279069767,0
6.52649E-3,34.036139031,0.631139259,0.398963731,0.290697674,0
6.61852E-3,34.697990932,0.636290242,0.393782383,0.290697674,0
6.64383E-3,35.362374048,0.637694367,0.388601036,0.290697674,0
6.68111E-3,36.030485458,0.639752676,0.383419689,0.302325581,0
6.96391E-3,36.726876317,0.654989107,0.378238342,0.302325581,0
7.04795E-3,37.431671505,0.659391733,0.373056995,0.313953488,0
7.15341E-3,38.147012564,0.664836817,0.367875648,0.325581395,0
7.15977E-3,38.862989451,0.665162315,0.362694301,0.325581395,0
7.25366E-3,39.588355665,0.669932317,0.357512953,0.325581395,0
7.26631E-3,40.314986277,0.670569448,0.352331606,0.337209302,0
7.30894E-3,41.045880045,0.672708607,0.347150259,0.348837209,0
7.31284E-3,41.777164295,0.672903847,0.341968912,0.348837209,0
7.45343E-3,42.522506918,0.67985594,0.336787565,0.348837209,0
