X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.004670858158770809,14.220545592355874,0.49383358653047305
2.0,2.0,train,0.009704908351196301,81.78853914230035,0.7570072157548585
3.0,3.0,train,0.004941709571708702,16.148856583235858,0.5134292120479627
4.0,4.0,train,0.0015127121562134485,3.025853302493849,0.1978936999846116
5.0,5.0,train,0.006904321291243724,32.74975926429978,0.634493307278915
6.0,6.0,train,0.006765663147174425,30.690556228343006,0.6270302393905077
7.0,7.0,train,0.0034743101685502185,8.77834211711655,0.3973774124315057
8.0,8.0,train,0.0053692517321132695,20.276614854552847,0.5428288378768127
9.0,9.0,train,0.005826617654292984,21.9809381613062,0.5723154955498517
10.0,10.0,train,0.005145070277007987,18.68847635040241,0.5276417568176432
11.0,11.0,train,0.010347832475740358,90.76923997998696,0.7787462766399441
12.0,12.0,train,0.00830210295653934,57.618204435556514,0.7018715798085924
13.0,13.0,train,0.009057948839626247,69.60421805853451,0.7329751730315381
14.0,14.0,train,0.008580142345294651,66.08883385072764,0.713713398057657
15.0,15.0,train,0.006254056337391845,27.40498511794756,0.5981510272627194
16.0,16.0,train,0.009351472740475455,75.14727531661156,0.7441596852912298
17.0,17.0,train,0.008081146119517765,50.23401541446539,0.6921126094882225
18.0,18.0,train,0.005145070277007987,18.68847635040241,0.5276417568176432
19.0,19.0,train,0.005145070277007987,18.68847635040241,0.5276417568176432
20.0,20.0,train,0.008769628912508569,68.69841041949044,0.7215130515357122
21.0,21.0,train,0.008129767048404792,51.855368616318835,0.6942870980844228
22.0,22.0,train,0.007726500528896353,43.152141537913465,0.675776784508783
23.0,23.0,train,0.008363577863759466,59.28901338368929,0.7045313058134813
24.0,24.0,train,0.007414167526355001,37.792724742916334,0.6606736755059446
25.0,25.0,train,0.009204195602516096,71.43219006517914,0.7386076173854345
26.0,26.0,train,0.009373180302053263,76.08448331824584,0.7449679864504601
27.0,27.0,train,0.008711475782070112,67.82142568545913,0.7191422227721977
28.0,28.0,train,0.00927164717058536,73.27976697199149,0.741165212095984
29.0,29.0,train,0.009704908351196301,81.78853914230035,0.7570072157548585
30.0,30.0,train,0.003201346463307415,8.084453298331251,0.3729149816569046
31.0,31.0,train,0.008237146017752568,55.9607488565278,0.6990351838083795
32.0,32.0,train,0.008548406348945232,64.37261739486388,0.7123858866190393
33.0,33.0,train,0.011348553033686823,98.46637202388189,0.8087787659619391
