x,y,species cloglog values
1.0,1.0,0.685334
2.0,2.0,0.15375964
3.0,3.0,0.6248913
4.0,4.0,0.69874805
5.0,5.0,0.23435722
6.0,6.0,0.11573739
7.0,7.0,0.7161446
8.0,8.0,0.3445059
9.0,9.0,0.56932753
10.0,10.0,0.3053749
11.0,11.0,0.64228326
12.0,12.0,0.71846515
13.0,13.0,0.71846515
14.0,14.0,0.6841927
15.0,15.0,0.303447
16.0,16.0,0.27860668
17.0,17.0,0.33705467
18.0,18.0,0.11317345
19.0,19.0,0.71846515
20.0,20.0,0.6383896
21.0,21.0,0.66691536
22.0,22.0,0.71846515
23.0,23.0,0.15359485
24.0,24.0,0.15302141
25.0,25.0,0.21200256
26.0,26.0,0.12472986
27.0,27.0,0.6551702
28.0,28.0,0.6759517
29.0,29.0,0.21635385
30.0,30.0,0.2720078
31.0,31.0,0.6657685
32.0,32.0,0.3509592
33.0,33.0,0.33289716
34.0,34.0,0.5926011
35.0,35.0,0.2981731
36.0,36.0,0.6716943
37.0,37.0,0.1256578
38.0,38.0,0.6965249
39.0,39.0,0.24199753
40.0,40.0,0.28285846
41.0,41.0,0.11068146
42.0,42.0,0.148195
43.0,43.0,0.5945899
44.0,44.0,0.7069825
45.0,45.0,0.36238348
46.0,46.0,0.19524685
47.0,47.0,0.54424036
48.0,48.0,0.18733494
49.0,49.0,0.43675724
50.0,50.0,0.65082896
51.0,51.0,0.47072977
52.0,52.0,0.26753217
53.0,53.0,0.3250447
54.0,54.0,0.13812755
55.0,55.0,0.13960199
56.0,56.0,0.53795874
57.0,57.0,0.1807653
58.0,58.0,0.45920056
59.0,59.0,0.5785079
60.0,60.0,0.209076
61.0,61.0,0.14869574
62.0,62.0,0.18409595
63.0,63.0,0.58964634
64.0,64.0,0.6638421
65.0,65.0,0.20689309
66.0,66.0,0.17537117
67.0,67.0,0.60929555
68.0,68.0,0.71106386
69.0,69.0,0.6759886
70.0,70.0,0.70256007
71.0,71.0,0.5286647
72.0,72.0,0.14902131
73.0,73.0,0.6356176
74.0,74.0,0.1494502
75.0,75.0,0.1817188
76.0,76.0,0.37446395
77.0,77.0,0.37313175
78.0,78.0,0.29949546
79.0,79.0,0.12625831
80.0,80.0,0.716176
81.0,81.0,0.48591307
82.0,82.0,0.69927984
83.0,83.0,0.6791075
84.0,84.0,0.1476576
85.0,85.0,0.1963507
86.0,86.0,0.6681772
87.0,87.0,0.6412733
88.0,88.0,0.18596724
89.0,89.0,0.19252245
90.0,90.0,0.1522415
91.0,91.0,0.16714057
92.0,92.0,0.42273054
93.0,93.0,0.63533986
94.0,94.0,0.40478054
95.0,95.0,0.7131179
