x,y,raw,cumulative,Cloglog
1.0,1.0,3.33559E-3,10.243596891,0.419961164
2.0,2.0,2.79093E-3,8.396323707,0.366011277
3.0,3.0,8.83273E-4,0.94494119,0.13430896
4.0,4.0,6.62778E-3,34.945084543,0.66116195
5.0,5.0,2.61553E-3,7.584370217,0.347590561
6.0,6.0,5.19855E-3,18.709888054,0.572096214
7.0,7.0,2.50843E-3,6.555600504,0.336080815
8.0,8.0,8.01326E-3,100,0.729764947
9.0,9.0,3.61283E-3,11.318859372,0.445633557
10.0,10.0,7.93732E-3,55.941965618,0.726393248
11.0,11.0,3.86176E-3,13.582804455,0.467714947
12.0,12.0,5.92374E-3,25.381066435,0.619881179
13.0,13.0,7.39249E-4,0.603245549,0.113709107
14.0,14.0,5.70872E-4,0.197211074,0.089003503
15.0,15.0,3.04486E-3,9.584629497,0.391760338
16.0,16.0,6.82948E-4,0.390790298,0.105523648
17.0,17.0,8.01326E-3,100,0.729764947
18.0,18.0,7.70677E-3,52.003122216,0.715896701
19.0,19.0,4.55172E-4,0.086304954,0.071628928
20.0,20.0,9.78507E-4,1.515140921,0.147666874
21.0,21.0,6.55287E-3,32.961287032,0.656991663
22.0,22.0,8.01326E-3,100,0.729764947
23.0,23.0,5.62738E-3,23.062107613,0.601034548
24.0,24.0,8.01326E-3,100,0.729764947
25.0,25.0,8.01326E-3,100,0.729764947
26.0,26.0,2.25951E-3,4.879605069,0.308539875
27.0,27.0,2.96567E-3,8.977321816,0.383844473
28.0,28.0,7.12251E-3,43.893770165,0.687457553
29.0,29.0,4.07878E-4,0.040787783,0.064431839
30.0,30.0,1.10394E-3,1.831886953,0.164946184
31.0,31.0,4.91035E-3,16.65404934,0.551477869
32.0,32.0,5.89975E-3,24.788692551,0.618389258
33.0,33.0,2.68191E-3,8.117230305,0.354623867
34.0,34.0,1.32765E-3,2.680050546,0.194899082
35.0,35.0,1.69783E-3,3.471845913,0.242123125
36.0,36.0,6.52446E-3,31.653183718,0.655396548
37.0,37.0,1.63297E-3,3.135068784,0.23405378
38.0,38.0,5.44081E-3,21.39499224,0.588693174
39.0,39.0,4.53458E-3,15.701272252,0.523095355
40.0,40.0,2.64669E-3,7.849039239,0.350901584
41.0,41.0,5.38189E-4,0.14012383,0.084128671
42.0,42.0,1.37662E-3,2.817712594,0.201311808
43.0,43.0,3.25408E-3,9.910037465,0.412189065
44.0,44.0,1.54059E-3,2.97177176,0.222412476
45.0,45.0,9.53005E-4,1.321576691,0.144110139
46.0,46.0,2.59118E-3,7.322817169,0.344991155
47.0,47.0,5.3695E-3,20.306829542,0.583875719
48.0,48.0,7.36897E-3,48.975305389,0.699786094
49.0,49.0,6.97565E-4,0.529320601,0.107655983
50.0,50.0,3.02822E-3,9.280143931,0.390105989
51.0,51.0,9.41561E-4,1.131570005,0.142509342
52.0,52.0,3.74241E-3,12.055567643,0.45724039
53.0,53.0,2.46852E-3,6.30475747,0.331740111
54.0,54.0,6.08789E-3,27.793581652,0.629934453
55.0,55.0,6.70932E-3,36.950094186,0.665643055
56.0,56.0,1.7889E-3,3.82238097,0.25331009
57.0,57.0,3.75606E-3,12.431173638,0.458448403
58.0,58.0,7.88254E-3,54.357245398,0.723935104
59.0,59.0,6.83239E-3,40.358463559,0.672295487
60.0,60.0,1.14597E-3,2.058279631,0.17065769
61.0,61.0,1.66994E-3,3.302062763,0.238663607
62.0,62.0,8.01326E-3,100,0.729764947
63.0,63.0,5.65018E-3,23.627125572,0.60251681
64.0,64.0,1.21235E-3,2.300337228,0.179598932
65.0,65.0,1.00629E-3,1.615769982,0.151524856
66.0,66.0,2.40028E-3,5.816046077,0.32425175
67.0,67.0,2.30541E-3,5.339504639,0.31370241
68.0,68.0,6.83239E-3,40.358463559,0.672295487
69.0,69.0,2.84431E-3,8.680755068,0.371513244
