Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.4564E-4,0.024564032,0.034126587,1,0,0
2.91179E-4,0.053681927,0.040324058,0.994652406,0,0
3.67404E-4,0.125345773,0.050608881,0.983957219,0,0
4.08777E-4,0.203815451,0.056144943,0.973262032,0,0
4.2969E-4,0.330450641,0.058931032,0.957219251,0,0
4.48172E-4,0.418238103,0.061386424,0.946524064,0,0
4.58529E-4,0.509455809,0.062759578,0.935828877,0,0
4.91432E-4,0.605933272,0.067108562,0.92513369,0,0
5.13607E-4,0.708026453,0.070028135,0.914438503,0,0
5.15052E-4,0.759531643,0.070218048,0.909090909,0,0
5.23103E-4,0.811841959,0.071275618,0.903743316,0,0
5.25969E-4,0.916844887,0.071651798,0.893048128,0,0
6.25341E-4,1.037889861,0.084600815,0.882352941,0,0
6.25933E-4,1.100483175,0.084677486,0.877005348,0,0
7.12514E-4,1.239473129,0.095811551,0.86631016,0,0
7.13813E-4,1.310854406,0.0959775,0.860962567,0,0
7.76469E-4,1.464394493,0.103948858,0.85026738,0,0
8.16568E-4,1.546051309,0.109013517,0.844919786,0,0
9.79231E-4,1.823935279,0.129266369,0.828877005,0,0
9.98904E-4,2.023552857,0.131684492,0.818181818,0,0
1.02834E-3,2.328910692,0.135290492,0.802139037,0,0
1.07968E-3,2.543736674,0.141542597,0.79144385,0,0
1.08275E-3,2.760023317,0.14191464,0.780748663,0.011627907,0
1.31822E-3,3.009023681,0.170005645,0.770053476,0.011627907,0
1.36834E-3,3.279348001,0.175865709,0.759358289,0.011627907,0
1.41248E-3,3.558845121,0.180991703,0.748663102,0.011627907,0
1.68837E-3,3.896036071,0.212316597,0.737967914,0.011627907,0
1.71192E-3,4.067227862,0.214934574,0.732620321,0.011627907,0
1.71486E-3,4.41011218,0.215261354,0.721925134,0.011627907,0
1.75265E-3,4.585376789,0.219441315,0.71657754,0.011627907,0
1.75926E-3,4.761302982,0.220170937,0.711229947,0.011627907,0
1.84409E-3,5.125427386,0.229465571,0.700534759,0.011627907,0
1.94937E-3,5.320364127,0.240847729,0.695187166,0.011627907,0
1.95804E-3,5.516167849,0.241777516,0.689839572,0.011627907,0
1.96496E-3,5.90893712,0.24251866,0.679144385,0.011627907,0
2.00132E-3,6.109068686,0.246401878,0.673796791,0.011627907,0
2.02329E-3,6.311398009,0.248739403,0.668449198,0.011627907,0
2.13383E-3,6.524781406,0.260386982,0.663101604,0.011627907,0
2.31344E-3,6.973728038,0.278928447,0.652406417,0.011627907,0
2.62379E-3,7.236106963,0.309877267,0.647058824,0.011627907,0
2.88396E-3,7.524502841,0.334796385,0.64171123,0.011627907,0
2.90378E-3,7.814880913,0.336657631,0.636363636,0.011627907,0
2.98622E-3,8.113503379,0.344343264,0.631016043,0.011627907,0
3.15465E-3,8.428968386,0.359768645,0.625668449,0.011627907,0
3.33697E-3,8.762665469,0.376057855,0.620320856,0.011627907,0
3.33984E-3,9.096649429,0.376310822,0.614973262,0.011627907,0
3.90647E-3,9.48729617,0.424317417,0.609625668,0.023255814,0
3.96783E-3,9.884079371,0.429289406,0.604278075,0.023255814,0
3.98352E-3,10.282430874,0.430553198,0.598930481,0.034883721,0
4.39319E-3,10.721750225,0.462593253,0.593582888,0.034883721,0
4.61041E-3,11.182791444,0.478843543,0.588235294,0.034883721,0
4.61284E-3,11.644075929,0.479022722,0.582887701,0.034883721,0
4.71587E-3,12.115663128,0.486554945,0.577540107,0.034883721,0
4.74795E-3,12.590458311,0.488877966,0.572192513,0.046511628,0
4.77711E-3,13.068169303,0.490980293,0.56684492,0.046511628,0
4.84456E-3,13.552625773,0.495810767,0.561497326,0.058139535,0
4.9678E-3,14.533862223,0.504517636,0.550802139,0.081395349,0
4.97624E-3,15.03148621,0.505108418,0.545454545,0.093023256,0
5.05695E-3,15.5371815,0.510722644,0.540106952,0.093023256,0
5.14738E-3,16.051919288,0.516936801,0.534759358,0.093023256,0
5.23731E-3,16.575650752,0.523039118,0.529411765,0.093023256,0
5.33657E-3,17.109307282,0.529683959,0.524064171,0.093023256,0
5.83858E-3,17.693165332,0.561902048,0.518716578,0.104651163,0
5.90394E-3,18.283559567,0.565931092,0.513368984,0.11627907,0
6.022E-3,18.885759681,0.573114815,0.50802139,0.127906977,0
6.03015E-3,19.488774786,0.573606317,0.502673797,0.139534884,0
6.1106E-3,20.099835276,0.578428033,0.497326203,0.151162791,0
6.12566E-3,20.712400892,0.579324004,0.49197861,0.151162791,0
6.14975E-3,21.327376007,0.580754368,0.486631016,0.162790698,0
6.16561E-3,21.94393721,0.58169327,0.481283422,0.174418605,0
6.26176E-3,22.570113347,0.587340097,0.475935829,0.174418605,0
6.30802E-3,23.200914947,0.590029401,0.470588235,0.174418605,0
6.31413E-3,25.093931078,0.590383521,0.454545455,0.209302326,0
6.38722E-3,25.732653387,0.594593962,0.449197861,0.209302326,0
6.41442E-3,26.374095286,0.596149463,0.443850267,0.209302326,0
6.42787E-3,27.016882007,0.596916444,0.438502674,0.209302326,0
6.5882E-3,27.675701697,0.60594895,0.43315508,0.220930233,0
6.62417E-3,28.338118403,0.607947443,0.427807487,0.23255814,0
6.6255E-3,29.00066859,0.60802141,0.422459893,0.244186047,0
6.69655E-3,29.670323259,0.611938171,0.417112299,0.255813953,0
6.77158E-3,30.347481164,0.616032283,0.411764706,0.255813953,0
6.91427E-3,31.038908265,0.623699416,0.406417112,0.26744186,0
7.141E-3,31.753007944,0.635568203,0.401069519,0.279069767,0
7.18431E-3,32.471439297,0.637792816,0.395721925,0.290697674,0
7.41074E-3,33.212513661,0.649202426,0.390374332,0.290697674,0
7.43262E-3,33.95577539,0.6502854,0.385026738,0.302325581,0
7.53161E-3,34.70893646,0.655144952,0.379679144,0.302325581,0
7.59195E-3,35.468131182,0.65807367,0.374331551,0.313953488,0
7.66011E-3,36.99333725,0.661352527,0.363636364,0.337209302,0
7.72586E-3,37.76592341,0.664485279,0.35828877,0.337209302,0
7.78139E-3,40.089234615,0.667108446,0.342245989,0.372093023,0
7.85679E-3,40.874913301,0.670637526,0.336898396,0.38372093,0
7.85749E-3,41.660662642,0.670670419,0.331550802,0.395348837,0
7.8684E-3,42.447502499,0.67117769,0.326203209,0.406976744,0
7.8858E-3,43.236082068,0.671985326,0.320855615,0.406976744,0
8.03055E-3,44.03913723,0.678628953,0.315508021,0.418604651,0
8.0348E-3,44.842617514,0.678822017,0.310160428,0.430232558,0
8.05111E-3,45.647728602,0.679561552,0.304812834,0.441860465,0
8.17804E-3,46.465532765,0.685259683,0.299465241,0.453488372,0
8.2295E-3,47.288482625,0.687540704,0.294117647,0.465116279,0
8.31737E-3,48.120219775,0.691397843,0.288770053,0.465116279,0
8.3348E-3,48.953699546,0.692157082,0.28342246,0.465116279,0
8.34802E-3,49.788501228,0.692731776,0.278074866,0.476744186,0
8.46476E-3,51.469778967,0.697760805,0.267379679,0.5,0
8.49136E-3,52.318914712,0.69889497,0.262032086,0.511627907,0
8.60555E-3,53.179469875,0.703716367,0.256684492,0.523255814,0
8.65518E-3,54.044987507,0.705787435,0.251336898,0.523255814,0
8.66024E-3,54.911011238,0.705997838,0.245989305,0.523255814,0
8.67488E-3,55.778499031,0.706605654,0.240641711,0.523255814,0
8.72896E-3,56.651394817,0.708839947,0.235294118,0.534883721,0
8.74868E-3,57.526262462,0.709650375,0.229946524,0.546511628,0
8.87637E-3,58.413899781,0.714844335,0.22459893,0.558139535,0
8.89532E-3,59.303431499,0.715606911,0.219251337,0.558139535,0
8.96676E-3,60.200107472,0.718464476,0.213903743,0.569767442,0
9.08663E-3,61.108770247,0.723194613,0.20855615,0.581395349,0
9.13336E-3,62.022106682,0.725017288,0.203208556,0.593023256,0
9.13341E-3,62.935447367,0.72501894,0.197860963,0.593023256,0
9.20618E-3,63.856065747,0.727833276,0.192513369,0.604651163,0
9.23819E-3,64.779884929,0.729061911,0.187165775,0.61627907,0
9.34057E-3,66.637761277,0.732954666,0.176470588,0.639534884,0
9.4074E-3,67.578501473,0.735465511,0.171122995,0.651162791,0
9.52437E-3,68.530938462,0.739803366,0.165775401,0.662790698,0
9.56148E-3,69.487086703,0.741164795,0.160427807,0.674418605,0
9.60627E-3,70.447713293,0.742798142,0.155080214,0.686046512,0
9.67173E-3,72.375512956,0.745167254,0.144385027,0.709302326,0
9.87826E-3,73.363338698,0.752499193,0.139037433,0.720930233,0
9.88689E-3,74.3520273,0.752800885,0.13368984,0.73255814,0
9.91103E-3,75.343130067,0.753643024,0.128342246,0.744186047,0
9.91103E-3,76.334232834,0.753643024,0.117647059,0.744186047,0
1.00088E-2,77.33511043,0.757023583,0.117647059,0.76744186,0
1.00605E-2,78.341159939,0.758793447,0.112299465,0.76744186,0
1.01048E-2,80.357685705,0.760298069,0.101604278,0.790697674,0
