x,y,species cloglog values
1.0,1.0,0.6153843
2.0,2.0,0.15707298
3.0,3.0,0.5527018
4.0,4.0,0.8071315
5.0,5.0,0.23289458
6.0,6.0,0.12723401
7.0,7.0,0.6280585
8.0,8.0,0.31179914
9.0,9.0,0.51690596
10.0,10.0,0.28961968
11.0,11.0,0.5110664
12.0,12.0,0.6501076
13.0,13.0,0.6650034
14.0,14.0,0.67536247
15.0,15.0,0.28912237
16.0,16.0,0.26076537
17.0,17.0,0.31309557
18.0,18.0,0.121108405
19.0,19.0,0.6848463
20.0,20.0,0.567413
21.0,21.0,0.6543844
22.0,22.0,0.6709615
23.0,23.0,0.1421381
24.0,24.0,0.14145122
25.0,25.0,0.21021728
26.0,26.0,0.12408401
27.0,27.0,0.62024623
28.0,28.0,0.6681067
29.0,29.0,0.22236589
30.0,30.0,0.23257335
31.0,31.0,0.53119636
32.0,32.0,0.26565734
33.0,33.0,0.44094828
34.0,34.0,0.4752978
35.0,35.0,0.27831522
36.0,36.0,0.58387524
37.0,37.0,0.12500034
38.0,38.0,0.62718827
39.0,39.0,0.22872607
40.0,40.0,0.2697027
41.0,41.0,0.114878684
42.0,42.0,0.16698568
43.0,43.0,0.47894052
44.0,44.0,0.74240273
45.0,45.0,0.35272375
46.0,46.0,0.19680388
47.0,47.0,0.5013286
48.0,48.0,0.19829457
49.0,49.0,0.44418648
50.0,50.0,0.49591547
51.0,51.0,0.39543852
52.0,52.0,0.28033125
53.0,53.0,0.2659213
54.0,54.0,0.13056931
55.0,55.0,0.15141898
56.0,56.0,0.42096528
57.0,57.0,0.18232596
58.0,58.0,0.36781174
59.0,59.0,0.5373213
60.0,60.0,0.20849769
61.0,61.0,0.1432922
62.0,62.0,0.1997628
63.0,63.0,0.56628823
64.0,64.0,0.7195826
65.0,65.0,0.2035493
66.0,66.0,0.16784658
67.0,67.0,0.5888543
68.0,68.0,0.66991967
69.0,69.0,0.63132435
70.0,70.0,0.7456501
71.0,71.0,0.39555526
72.0,72.0,0.15820259
73.0,73.0,0.7164204
74.0,74.0,0.13527936
75.0,75.0,0.17196316
76.0,76.0,0.32162175
77.0,77.0,0.29129758
78.0,78.0,0.27496758
79.0,79.0,0.11437555
80.0,80.0,0.7833545
81.0,81.0,0.34628537
82.0,82.0,0.6237756
83.0,83.0,0.67601526
84.0,84.0,0.13594559
85.0,85.0,0.1996478
86.0,86.0,0.6483573
87.0,87.0,0.61363894
88.0,88.0,0.19057488
89.0,89.0,0.19493254
90.0,90.0,0.15961592
91.0,91.0,0.20700198
92.0,92.0,0.32375953
93.0,93.0,0.6494843
94.0,94.0,0.34559283
95.0,95.0,0.82728475
