x,y,raw,cumulative,Cloglog
1.0,1.0,3.1536E-3,7.597369869,0.360962188
2.0,2.0,2.23262E-3,5.636685832,0.271683278
3.0,3.0,2.05809E-3,4.55423958,0.25340798
4.0,4.0,3.72688E-4,0.56724122,0.051543548
5.0,5.0,2.45898E-4,0.190199701,0.034313576
6.0,6.0,2.15177E-3,4.978035227,0.263273218
7.0,7.0,2.23269E-4,0.072014826,0.031205633
8.0,8.0,6.4507E-3,18.812844963,0.599867939
9.0,9.0,2.84006E-3,6.395306377,0.331869113
10.0,10.0,3.20059E-4,0.360770552,0.044429207
11.0,11.0,8.55379E-3,51.467746652,0.703167528
12.0,12.0,1.03244E-3,1.915336118,0.136360308
13.0,13.0,4.46961E-3,10.515064292,0.469883329
14.0,14.0,8.59249E-3,53.182642268,0.704794006
15.0,15.0,6.61551E-4,0.97374935,0.089659231
16.0,16.0,1.03594E-3,2.018929814,0.136789614
17.0,17.0,7.07946E-3,27.702096717,0.634043691
18.0,18.0,6.50624E-3,20.755002198,0.603010952
19.0,19.0,5.62942E-4,0.907594246,0.076823032
20.0,20.0,1.9156E-3,3.952678682,0.238148724
21.0,21.0,8.59771E-3,54.0424134,0.705012836
22.0,22.0,6.45022E-3,18.167775013,0.599840521
23.0,23.0,7.24736E-3,29.134962636,0.642664927
24.0,24.0,2.54223E-4,0.215622029,0.035454411
25.0,25.0,2.42925E-3,6.111300587,0.291736298
26.0,26.0,9.00485E-3,68.216896862,0.721582962
27.0,27.0,4.43565E-4,0.654263903,0.061041116
28.0,28.0,3.83699E-3,7.981069269,0.420059711
29.0,29.0,8.76163E-3,59.276961018,0.711799416
30.0,30.0,2.40857E-4,0.165609853,0.033622069
31.0,31.0,4.25418E-3,9.187369383,0.453416585
32.0,32.0,5.84031E-3,16.897948783,0.563640587
33.0,33.0,8.30673E-4,1.343588435,0.111260034
34.0,34.0,1.13748E-3,2.346015828,0.149146909
35.0,35.0,7.3855E-3,34.269506269,0.649606016
36.0,36.0,1.60659E-3,3.225587435,0.203975822
37.0,37.0,9.09522E-3,75.474186376,0.725132508
38.0,38.0,4.36401E-3,9.623769958,0.46187405
39.0,39.0,1.44525E-3,2.751679807,0.185529229
40.0,40.0,2.3169E-3,5.868375681,0.280346684
41.0,41.0,1.16971E-3,2.462987002,0.153031734
42.0,42.0,2.27099E-4,0.094724694,0.031732271
43.0,43.0,1.44168E-3,2.607154873,0.18511618
44.0,44.0,1.89275E-3,3.761118535,0.235672579
45.0,45.0,1.87278E-4,0.049687896,0.026241878
46.0,46.0,3.5451E-4,0.52997246,0.049092318
47.0,47.0,3.88594E-3,8.369663448,0.424076492
48.0,48.0,2.19456E-3,5.413423396,0.267735639
49.0,49.0,1.00962E-3,1.812092588,0.133557538
