Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.89519E-5,0.003895187,0.005178808,1,0,0
5.24017E-5,0.009135355,0.006960777,0.994818653,0,0
6.26499E-5,0.015400341,0.008316421,0.989637306,0,0
7.89861E-5,0.030779319,0.010473571,0.979274611,0,0
9.79058E-5,0.057865564,0.012965996,0.96373057,0,0
1.27927E-4,0.10386115,0.016908043,0.943005181,0,0
1.84457E-4,0.205496242,0.024288159,0.911917098,0,0
2.00968E-4,0.302175185,0.026433319,0.886010363,0,0
2.68971E-4,0.421206979,0.035218621,0.860103627,0,0
2.86727E-4,0.50613212,0.037499326,0.844559585,0,0
3.27718E-4,0.600240076,0.042744269,0.829015544,0,0
4.35036E-4,0.709994258,0.056340661,0.813471503,0,0
5.18789E-4,0.761873132,0.066817295,0.808290155,0,0
5.39593E-4,0.815832459,0.069401644,0.803108808,0,0
6.18373E-4,0.933998978,0.079123034,0.792746114,0,0
6.85002E-4,1.064846287,0.087265621,0.78238342,0,0
7.10119E-4,1.135858207,0.090316483,0.777202073,0,0
7.14892E-4,1.207347425,0.090895072,0.772020725,0,0
7.42856E-4,1.354488792,0.094277501,0.761658031,0,0
8.93094E-4,1.44379822,0.112235709,0.756476684,0.011627907,0
9.28105E-4,1.536608749,0.116369206,0.751295337,0.011627907,0
1.04338E-3,1.838513773,0.129843551,0.735751295,0.011627907,0
1.12197E-3,2.055571718,0.138911384,0.725388601,0.011627907,0
1.21451E-3,2.298081957,0.149467979,0.715025907,0.011627907,0
1.43823E-3,2.580391583,0.174457926,0.704663212,0.011627907,0
1.54238E-3,2.880579356,0.185840436,0.694300518,0.011627907,0
1.54589E-3,3.035168289,0.18622084,0.689119171,0.011627907,0
1.60484E-3,3.350872474,0.192590102,0.678756477,0.011627907,0
1.77235E-3,3.528107267,0.210419169,0.67357513,0.011627907,0
1.81535E-3,3.887066912,0.214932107,0.663212435,0.011627907,0
