x,y,species cloglog values
1.0,1.0,0.2728366
2.0,2.0,0.23048542
3.0,3.0,0.13581221
4.0,4.0,0.02724446
5.0,5.0,0.023344751
6.0,6.0,0.22293377
7.0,7.0,0.016859416
8.0,8.0,0.58780944
9.0,9.0,0.21422094
10.0,10.0,0.02172925
11.0,11.0,0.6625363
12.0,12.0,0.08255631
13.0,13.0,0.5462757
14.0,14.0,0.67575365
15.0,15.0,0.057640873
16.0,16.0,0.067361176
17.0,17.0,0.51859844
18.0,18.0,0.5259658
19.0,19.0,0.08155441
20.0,20.0,0.122096434
21.0,21.0,0.6645693
22.0,22.0,0.54798555
23.0,23.0,0.66867757
24.0,24.0,0.022522273
25.0,25.0,0.1620786
26.0,26.0,0.6600431
27.0,27.0,0.03408259
28.0,28.0,0.43413332
29.0,29.0,0.6742963
30.0,30.0,0.027302234
31.0,31.0,0.35522252
32.0,32.0,0.35379055
33.0,33.0,0.058334608
34.0,34.0,0.07787774
35.0,35.0,0.5678409
36.0,36.0,0.17094584
37.0,37.0,0.6561367
38.0,38.0,0.39980832
39.0,39.0,0.13284571
40.0,40.0,0.17707959
41.0,41.0,0.12308462
42.0,42.0,0.0141969295
43.0,43.0,0.116526425
44.0,44.0,0.15500286
45.0,45.0,0.021288777
46.0,46.0,0.044448186
47.0,47.0,0.34375876
48.0,48.0,0.2820188
49.0,49.0,0.10147089
50.0,50.0,0.11892956
51.0,51.0,0.72066766
52.0,52.0,0.5144426
53.0,53.0,0.025328495
54.0,54.0,0.022574667
55.0,55.0,0.09491952
56.0,56.0,0.022333652
57.0,57.0,0.48900753
58.0,58.0,0.06700632
59.0,59.0,0.039516076
60.0,60.0,0.47374013
61.0,61.0,0.014194939
62.0,62.0,0.08458518
63.0,63.0,0.32271674
64.0,64.0,0.67987937
65.0,65.0,0.09326718
66.0,66.0,0.04034486
67.0,67.0,0.21686696
68.0,68.0,0.07280612
69.0,69.0,0.26089612
70.0,70.0,0.040090695
71.0,71.0,0.15305528
72.0,72.0,0.049871176
73.0,73.0,0.28209603
74.0,74.0,0.031760946
75.0,75.0,0.7033169
76.0,76.0,0.20720455
77.0,77.0,0.067083366
78.0,78.0,0.026254233
79.0,79.0,0.043181837
80.0,80.0,0.7182176
81.0,81.0,0.17748086
82.0,82.0,0.5785881
83.0,83.0,0.020565448
84.0,84.0,0.21738441
85.0,85.0,0.021971883
86.0,86.0,0.5713825
87.0,87.0,0.03646058
88.0,88.0,0.40605566
89.0,89.0,0.025183367
90.0,90.0,0.12362116
91.0,91.0,0.03300414
92.0,92.0,0.029277638
93.0,93.0,0.21251078
94.0,94.0,0.7389469
95.0,95.0,0.74479526
96.0,96.0,0.71597123
97.0,97.0,0.4977295
98.0,98.0,0.0648607
99.0,99.0,0.48429456
100.0,100.0,0.095128596
101.0,101.0,0.22599377
102.0,102.0,0.038226716
