x,y,raw,cumulative,Cloglog
1.0,1.0,9.16358E-4,1.802474851,0.109938295
2.0,2.0,2.61811E-4,0.343874418,0.032727386
3.0,3.0,7.52698E-3,27.1142494,0.615818532
4.0,4.0,1.07969E-2,86.207179012,0.746458398
5.0,5.0,1.57574E-4,0.11726561,0.019827711
6.0,6.0,1.8774E-4,0.222112431,0.023578352
7.0,7.0,8.56624E-3,33.690220862,0.663354565
8.0,8.0,1.4392E-3,2.765631877,0.167161239
9.0,9.0,5.45576E-3,12.168962641,0.500126158
10.0,10.0,2.66183E-3,5.019295598,0.287021837
11.0,11.0,2.017E-3,4.043672629,0.226128908
12.0,12.0,6.65333E-3,21.443799647,0.570702354
13.0,13.0,1.0128E-2,77.788010354,0.723963438
14.0,14.0,7.61587E-3,27.87583646,0.620134653
15.0,15.0,6.17795E-4,1.256056671,0.075515096
16.0,16.0,1.34058E-3,2.481184931,0.156656511
17.0,17.0,2.4859E-4,0.292745513,0.031100687
18.0,18.0,1.62917E-4,0.149328776,0.020492967
19.0,19.0,9.92686E-3,65.793964049,0.716814562
20.0,20.0,4.93963E-3,9.505674821,0.466236399
21.0,21.0,8.5384E-3,32.833597283,0.662161565
22.0,22.0,7.97001E-3,28.672837637,0.636853151
23.0,23.0,1.87396E-4,0.203338455,0.023535657
24.0,24.0,1.14325E-4,0.031568397,0.014425113
25.0,25.0,5.19944E-4,1.028060426,0.063946073
26.0,26.0,1.44061E-4,0.071149699,0.018142834
27.0,27.0,4.14406E-3,7.618560258,0.409443056
28.0,28.0,8.81458E-3,36.305143691,0.673814228
29.0,29.0,1.00543E-3,1.903018239,0.119957904
30.0,30.0,2.78732E-4,0.39823821,0.034805314
31.0,31.0,5.44152E-3,11.623386511,0.499220848
32.0,32.0,3.94886E-4,0.603921825,0.048949342
33.0,33.0,7.97287E-4,1.467217314,0.096366271
34.0,34.0,4.87238E-3,9.011711531,0.461654521
35.0,35.0,1.06841E-3,2.11552751,0.126973202
36.0,36.0,1.57006E-3,2.922637648,0.180897749
37.0,37.0,1.53476E-4,0.101508161,0.01931701
38.0,38.0,3.1322E-3,5.332515407,0.328396038
39.0,39.0,8.07872E-4,1.627867497,0.09758107
40.0,40.0,8.29715E-4,1.710839016,0.100082857
41.0,41.0,1.22684E-4,0.043836786,0.015471564
42.0,42.0,1.72149E-4,0.166543661,0.02164163
43.0,43.0,1.22891E-3,2.347126899,0.14460192
44.0,44.0,5.22744E-3,10.546975724,0.485408013
45.0,45.0,3.30669E-3,5.663184405,0.343126282
46.0,46.0,4.96033E-4,0.926176331,0.061097208
47.0,47.0,4.07316E-3,7.204154059,0.40409732
48.0,48.0,3.17232E-4,0.46150996,0.039516648
49.0,49.0,3.85875E-3,6.39740962,0.387635065
50.0,50.0,1.40527E-3,2.621711708,0.163561591
51.0,51.0,1.08708E-3,2.22423581,0.129043045
52.0,52.0,2.18525E-3,4.262197465,0.24250168
53.0,53.0,4.88611E-4,0.876572987,0.060211082
54.0,54.0,1.57715E-4,0.133037124,0.01984523
55.0,55.0,1.80552E-4,0.184598882,0.022685982
56.0,56.0,1.91768E-3,3.648907712,0.216298306
57.0,57.0,4.64998E-4,0.779126295,0.057386484
58.0,58.0,1.05669E-3,2.008686866,0.125671795
59.0,59.0,2.65093E-3,4.753113052,0.286033428
60.0,60.0,4.98897E-4,0.976066065,0.061438896
61.0,61.0,1.29068E-4,0.056743589,0.01627008
62.0,62.0,2.64906E-4,0.370364986,0.0331077
63.0,63.0,5.18557E-3,10.024231803,0.482662372
64.0,64.0,3.99428E-3,6.796838073,0.39809356
65.0,65.0,5.31232E-4,1.081183653,0.065288096
66.0,66.0,3.15485E-4,0.429786717,0.039303318
67.0,67.0,6.45564E-3,18.793930025,0.559779553
68.0,68.0,8.2884E-3,31.137650104,0.651254558
69.0,69.0,5.85025E-4,1.194277208,0.071656668
70.0,70.0,9.64217E-3,53.110055164,0.706380663
71.0,71.0,4.53126E-4,0.732626461,0.055963029
72.0,72.0,2.45363E-4,0.267886469,0.030703138
73.0,73.0,1.93065E-3,3.841973006,0.217589841
74.0,74.0,1.01408E-4,0.020135866,0.012805756
75.0,75.0,3.53012E-4,0.564433267,0.043874449
76.0,76.0,1.8897E-3,3.457140149,0.21350711
77.0,77.0,5.45911E-4,1.135774755,0.067030263
78.0,78.0,1.63558E-3,3.08619554,0.187690429
79.0,79.0,9.99505E-5,0.009995054,0.01262286
80.0,80.0,1.04259E-2,81.927543086,0.734217791
81.0,81.0,3.5028E-4,0.529132055,0.043542441
82.0,82.0,1.81974E-3,3.268169888,0.206482865
83.0,83.0,6.8101E-4,1.387488581,0.082912936
84.0,84.0,1.50109E-4,0.086160559,0.018897206
85.0,85.0,4.27313E-4,0.68731391,0.052860941
86.0,86.0,3.25941E-4,0.494104013,0.040579079
87.0,87.0,5.94787E-3,15.665298069,0.530432794
88.0,88.0,4.06608E-4,0.644582575,0.050365159
89.0,89.0,4.85856E-4,0.82771188,0.059881933
90.0,90.0,2.49478E-4,0.317693272,0.031209927
91.0,91.0,2.12378E-4,0.243350197,0.026631089
92.0,92.0,6.33309E-4,1.319387614,0.077336248
93.0,93.0,6.63066E-3,20.115055125,0.569463602
94.0,94.0,2.25823E-3,4.488020518,0.249495492
95.0,95.0,5.8203E-3,13.890912011,0.522757414
