Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.99505E-5,0.009995054,0.01262286,1,0,0
1.01408E-4,0.020135866,0.012805756,0.994444444,0,0
1.14325E-4,0.031568397,0.014425113,0.988888889,0,0
1.29068E-4,0.056743589,0.01627008,0.977777778,0,0
1.53476E-4,0.101508161,0.01931701,0.961111111,0,0
1.87396E-4,0.203338455,0.023535657,0.927777778,0,0
2.49478E-4,0.317693272,0.031209927,0.9,0,0
3.15485E-4,0.429786717,0.039303318,0.877777778,0,0
3.5028E-4,0.529132055,0.043542441,0.861111111,0,0
3.94886E-4,0.603921825,0.048949342,0.85,0,0
4.53126E-4,0.732626461,0.055963029,0.833333333,0,0
4.64998E-4,0.779126295,0.057386484,0.827777778,0,0
4.85856E-4,0.82771188,0.059881933,0.822222222,0,0
4.96033E-4,0.926176331,0.061097208,0.811111111,0,0
5.19944E-4,1.028060426,0.063946073,0.8,0,0
5.45911E-4,1.135774755,0.067030263,0.788888889,0,0
6.17795E-4,1.256056671,0.075515096,0.777777778,0,0
6.33309E-4,1.319387614,0.077336248,0.772222222,0,0
7.97287E-4,1.467217314,0.096366271,0.761111111,0,0
7.9863E-4,1.5470803,0.096520442,0.755555556,0,0
9.16358E-4,1.802474851,0.109938295,0.738888889,0.011627907,0
1.05669E-3,2.008686866,0.125671795,0.727777778,0.011627907,0
1.22891E-3,2.347126899,0.14460192,0.711111111,0.011627907,0
1.40527E-3,2.621711708,0.163561591,0.7,0.011627907,0
1.4392E-3,2.765631877,0.167161239,0.694444444,0.011627907,0
1.63558E-3,3.08619554,0.187690429,0.683333333,0.011627907,0
1.81974E-3,3.268169888,0.206482865,0.677777778,0.011627907,0
1.91768E-3,3.648907712,0.216298306,0.666666667,0.011627907,0
1.93065E-3,3.841973006,0.217589841,0.661111111,0.011627907,0
2.017E-3,4.043672629,0.226128908,0.655555556,0.011627907,0
2.18525E-3,4.262197465,0.24250168,0.65,0.011627907,0
2.65093E-3,4.753113052,0.286033428,0.638888889,0.011627907,0
2.66183E-3,5.019295598,0.287021837,0.633333333,0.011627907,0
3.1322E-3,5.332515407,0.328396038,0.627777778,0.011627907,0
3.30669E-3,5.663184405,0.343126282,0.622222222,0.011627907,0
3.48351E-3,6.011535119,0.357723287,0.616666667,0.011627907,0
3.85875E-3,6.39740962,0.387635065,0.611111111,0.023255814,0
3.99428E-3,6.796838073,0.39809356,0.605555556,0.023255814,0
4.07316E-3,7.204154059,0.40409732,0.6,0.023255814,0
4.14406E-3,7.618560258,0.409443056,0.594444444,0.023255814,0
4.45291E-3,8.063851482,0.432175287,0.588888889,0.023255814,0
4.60622E-3,8.524473499,0.443132066,0.583333333,0.034883721,0
4.87238E-3,9.011711531,0.461654521,0.577777778,0.046511628,0
4.93963E-3,9.505674821,0.466236399,0.572222222,0.046511628,0
5.18557E-3,10.024231803,0.482662372,0.566666667,0.046511628,0
5.22744E-3,10.546975724,0.485408013,0.561111111,0.046511628,0
5.32258E-3,11.079234072,0.49159317,0.555555556,0.046511628,0
5.44152E-3,11.623386511,0.499220848,0.55,0.058139535,0
